timestamp,app_name,total_connections,unique_destinations,services_accessed,email_connections
2024-11-16T13:44:39.417220,brave,13,14,"WEB,OTHER",0
2024-11-16T13:44:39.417220,Code,2,2,WEB,0
2024-11-16T13:44:39.417220,WD-TabNine,1,1,WEB,0
2024-11-16T13:44:39.417220,vdb,1,1,OTHER,0
2024-11-16T13:44:39.417220,NetworkManager,2,2,OTHER,0
2024-11-16T13:44:44.724572,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:44:44.724572,firefox,3,3,WEB,0
2024-11-16T13:44:44.724572,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:44:44.724572,warp-terminal,3,3,WEB,0
2024-11-16T13:44:44.724572,brave,12,12,"WEB,OTHER",0
2024-11-16T13:44:44.724572,Code,2,2,WEB,0
2024-11-16T13:44:44.724572,WD-TabNine,1,1,WEB,0
2024-11-16T13:44:44.724572,vdb,1,1,OTHER,0
2024-11-16T13:44:44.724572,NetworkManager,2,2,OTHER,0
2024-11-16T13:44:50.025912,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:44:50.025912,firefox,3,3,WEB,0
2024-11-16T13:44:50.025912,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:44:50.025912,warp-terminal,3,3,WEB,0
2024-11-16T13:44:50.025912,brave,12,12,"WEB,OTHER",0
2024-11-16T13:44:50.025912,Code,2,2,WEB,0
2024-11-16T13:44:50.025912,WD-TabNine,1,1,WEB,0
2024-11-16T13:44:50.025912,vdb,1,1,OTHER,0
2024-11-16T13:44:50.025912,NetworkManager,2,2,OTHER,0
2024-11-16T13:44:55.319960,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:44:55.319960,firefox,3,3,WEB,0
2024-11-16T13:44:55.319960,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:44:55.319960,warp-terminal,3,3,WEB,0
2024-11-16T13:44:55.319960,brave,12,13,"WEB,OTHER",0
2024-11-16T13:44:55.319960,Code,2,2,WEB,0
2024-11-16T13:44:55.319960,WD-TabNine,1,1,WEB,0
2024-11-16T13:44:55.319960,vdb,1,1,OTHER,0
2024-11-16T13:44:55.319960,NetworkManager,2,2,OTHER,0
2024-11-16T13:45:00.660421,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:45:00.660421,firefox,3,3,WEB,0
2024-11-16T13:45:00.660421,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:45:00.660421,warp-terminal,3,3,WEB,0
2024-11-16T13:45:00.660421,brave,12,12,"WEB,OTHER",0
2024-11-16T13:45:00.660421,Code,2,2,WEB,0
2024-11-16T13:45:00.660421,WD-TabNine,1,1,WEB,0
2024-11-16T13:45:00.660421,vdb,1,1,OTHER,0
2024-11-16T13:45:00.660421,NetworkManager,2,2,OTHER,0
2024-11-16T13:45:05.963725,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:45:05.963725,firefox,3,3,WEB,0
2024-11-16T13:45:05.963725,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:45:05.963725,warp-terminal,3,3,WEB,0
2024-11-16T13:45:05.963725,brave,12,13,"WEB,OTHER",0
2024-11-16T13:45:05.963725,Code,2,2,WEB,0
2024-11-16T13:45:05.963725,WD-TabNine,1,1,WEB,0
2024-11-16T13:45:05.963725,vdb,1,1,OTHER,0
2024-11-16T13:45:05.963725,NetworkManager,2,2,OTHER,0
2024-11-16T13:45:11.260337,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:45:11.260337,firefox,3,3,WEB,0
2024-11-16T13:45:11.260337,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:45:11.260337,warp-terminal,3,3,WEB,0
2024-11-16T13:45:11.260337,brave,12,13,"WEB,OTHER",0
2024-11-16T13:45:11.260337,Code,2,2,WEB,0
2024-11-16T13:45:11.260337,WD-TabNine,1,1,WEB,0
2024-11-16T13:45:11.260337,vdb,1,1,OTHER,0
2024-11-16T13:45:11.260337,NetworkManager,2,2,OTHER,0
2024-11-16T13:45:16.682553,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:45:16.682553,firefox,3,3,WEB,0
2024-11-16T13:45:16.682553,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:45:16.682553,warp-terminal,3,3,WEB,0
2024-11-16T13:45:16.682553,brave,13,14,"WEB,OTHER",0
2024-11-16T13:45:16.682553,Code,2,2,WEB,0
2024-11-16T13:45:16.682553,WD-TabNine,1,1,WEB,0
2024-11-16T13:45:16.682553,vdb,1,1,OTHER,0
2024-11-16T13:45:16.682553,NetworkManager,2,2,OTHER,0
2024-11-16T13:45:21.970639,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:45:21.970639,firefox,3,3,WEB,0
2024-11-16T13:45:21.970639,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:45:21.970639,warp-terminal,3,3,WEB,0
2024-11-16T13:45:21.970639,brave,13,14,"WEB,OTHER",0
2024-11-16T13:45:21.970639,Code,2,2,WEB,0
2024-11-16T13:45:21.970639,WD-TabNine,1,1,WEB,0
2024-11-16T13:45:21.970639,vdb,1,1,OTHER,0
2024-11-16T13:45:21.970639,NetworkManager,2,2,OTHER,0
2024-11-16T13:45:27.136486,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:45:27.136486,firefox,3,3,WEB,0
2024-11-16T13:45:27.136486,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:45:27.136486,warp-terminal,3,3,WEB,0
2024-11-16T13:45:27.136486,brave,13,13,"WEB,OTHER",0
2024-11-16T13:45:27.136486,Code,2,2,WEB,0
2024-11-16T13:45:27.136486,WD-TabNine,1,1,WEB,0
2024-11-16T13:45:27.136486,vdb,1,1,OTHER,0
2024-11-16T13:45:27.136486,NetworkManager,2,2,OTHER,0
2024-11-16T13:45:33.080330,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:45:33.080330,firefox,3,3,WEB,0
