timestamp,app_name,pid,protocol,local_addr,local_port,local_mac,remote_addr,remote_port,remote_mac,domain,service,direction,state,service_type
2024-11-16T13:44:40.575353,TabNine,1098871,tcp,10.105.8.94,45770,0C:37:96:4E:65:74,34.170.65.59,443,N/A,59.65.170.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:40.576847,brave,5285,tcp,10.105.8.94,41806,0C:37:96:4E:65:74,54.192.142.120,443,N/A,server-54-192-142-120.del54.r.cloudfront.net,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:40.578715,warp-terminal,70181,tcp,10.145.254.104,49608,N/A,34.96.117.51,443,N/A,51.117.96.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:41.595939,brave,5285,tcp,10.105.8.94,51310,0C:37:96:4E:65:74,142.250.77.195,443,N/A,del11s08-in-f3.1e100.net,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:41.597698,brave,5285,tcp,10.105.8.94,56172,0C:37:96:4E:65:74,34.197.157.38,4650,N/A,ec2-34-197-157-38.compute-1.amazonaws.com,PORT-4650,INBOUND,ESTABLISHED,OTHER
2024-11-16T13:44:41.599059,brave,5285,tcp,10.105.8.94,59970,0C:37:96:4E:65:74,140.82.112.25,443,N/A,lb-140-82-112-25-iad.github.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:41.600338,warp-terminal,70181,tcp,10.105.8.94,33412,0C:37:96:4E:65:74,34.117.41.85,443,N/A,85.41.117.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:41.601658,Code,1098476,tcp,10.105.8.94,48166,0C:37:96:4E:65:74,117.18.232.200,443,N/A,117.18.232.200,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:41.605544,warp-terminal,70181,tcp,10.105.8.94,41348,0C:37:96:4E:65:74,34.117.41.85,443,N/A,85.41.117.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:41.607108,TabNine,1098948,tcp,127.0.0.1,55622,N/A,127.0.0.1,49152,N/A,127.0.0.1,PORT-49152,INBOUND,ESTABLISHED,OTHER
2024-11-16T13:44:41.607419,TabNine,1098948,tcp,127.0.0.1,36360,N/A,127.0.0.1,49152,N/A,127.0.0.1,PORT-49152,INBOUND,ESTABLISHED,OTHER
2024-11-16T13:44:41.607727,brave,5285,tcp,10.105.8.94,43968,0C:37:96:4E:65:74,142.250.77.195,443,N/A,del11s08-in-f3.1e100.net,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:41.609434,Code,1098476,tcp,10.105.8.94,37330,0C:37:96:4E:65:74,13.89.178.26,443,N/A,13.89.178.26,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:41.613262,WD-TabNine,1464575,tcp,10.105.8.94,58266,0C:37:96:4E:65:74,34.170.65.59,443,N/A,59.65.170.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:41.614615,firefox,6724,tcp,10.105.8.94,56336,0C:37:96:4E:65:74,34.107.243.93,443,N/A,93.243.107.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:41.615820,TabNine-dee,1099105,tcp,10.105.8.94,51634,0C:37:96:4E:65:74,34.170.65.59,443,N/A,59.65.170.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:41.617057,vdb,1099243,tcp,127.0.0.1,44817,N/A,127.0.0.1,48760,N/A,127.0.0.1,PORT-48760,INBOUND,ESTABLISHED,OTHER
